title_x,tconst,runtimeMinutes,genres_x,averageRating,numVotes,decennie,budget,popularity,release_date,mots_clefs,data.overview,data.poster_image,Comedy,Drama,Documentary,url_trailer
Nous sommes tous encore ici,tt0119808,80.0,"Comedy,Drama,Romance",7.1,78.0,1990,0,0.6,1997-03-19,['réalisatrice'],"[""Dans une maison, deux femmes dissertent sur un dialogue de Socrate et Calliclès extrait du «Gorgias» de Platon où, contre Calliclès qui revendique la loi naturelle du plus fort contre le droit, Socrate maintient qu'il vaut mieux subir l'injustice que la commettre. Une deuxième partie fait intervenir un comédien qui s'interroge sur la philosophie d'après un texte d'Hannah Arendt. Enfin dans une troisième partie un couple dialogue sur la nature de sa vie.""]",https://image.tmdb.org/t/p/w500/cSSArAVfN0bGa55HmFdZcLXjKEB.jpg,1,1,0,
On connaît la chanson,tt0119828,120.0,"Comedy,Drama,Musical",7.3,4614.0,1990,0,6.276,1997-11-12,"['dépression', 'hypocondriaque']","[""Odile et Claude forment un couple routinier. Claude voit d'un mauvais œil le retour à Paris de Nicolas, un ancien amant d'Odile. Odile projette, quant à elle, d'acheter un grand appartement. Elle s'adresse à Marc, agent immobilier dont Camille, la sœur d'Odile, guide et étudiante en Histoire, s'éprend lors d'une visite des lieux. Mais Camille est sans le savoir convoitée par Simon, employé du tyrannique Marc, et qui partage avec elle la passion de l'Histoire. Simon pratique sans conviction son métier d'agent immobilier, en faisant notamment visiter à Nicolas une trentaine d'appartements.""]",https://image.tmdb.org/t/p/w500/z6Ut76sb5MWj5I90wEJxnvo5d2T.jpg,1,1,0,
Les palmes de M. Schutz,tt0119855,106.0,"Biography,Comedy,Drama",6.8,493.0,1990,0,2.059,1997-04-09,[],"[""Inspiré de la vie de Pierre et Marie Curie, l'histoire raconte leurs travaux à l'École supérieure de physique et de chimie industrielles de la ville de Paris (ESPCI), au cours desquels ils ont découvert le polonium et le radium. Le tout supervisé par le bouillonnant professeur Schutz (Philippe Noiret), directeur de l'école qui rêve d'une grande découverte de ses chercheurs afin d'obtenir enfin les palmes académiques.""]",https://image.tmdb.org/t/p/w500/wgT5bAUF8VAYi6yeVKHIRJ77VDd.jpg,1,1,0,https://www.youtube.com/watch?v=u932Jl9WFnE
Le pari,tt0119863,100.0,Comedy,6.3,4660.0,1990,0,4.818,1997-10-15,"['tabagisme', 'cigarette']","[""Bernard est professeur dans une banlieue et vit avec Victoria. Didier est un riche pharmacien du XIXe arrondissement de Paris, marié à Murielle, la soeur de Victoria. Tout oppose les deux beaux-freres et ils se détestent. Lors d'un repas chez les parents de leurs femmes respectives, ils font le pari d'arrêter de fumer pendant quinze jours, c'est-à-dire jusqu'à la prochaine réunion de famille.""]",https://image.tmdb.org/t/p/w500/u5jwzdK6C7ffUNtMU8oxmn5YrhE.jpg,1,0,0,https://www.youtube.com/watch?v=-v69il990gg
Place Vendôme,tt0119901,117.0,"Crime,Drama",6.2,2825.0,1990,0,2.958,1998-10-07,['réalisatrice'],"[""A la mort de son mari, Marianne qui a sombré depuis longtemps dans l'alcoolisme, retrouve dans son coffre sept magnifiques diamants. Mais ces pierres, d'autres les convoitent.""]",https://image.tmdb.org/t/p/w500/cg0ic1B7gTgUSNjod6tgrj1lFbI.jpg,0,1,0,
Pour rire!,tt0119927,100.0,"Comedy,Drama,Romance",6.4,276.0,1990,0,1.522,1997-01-01,[],"[""Brillante avocate, Alice est capable de tout, même de tromper Nicolas avec Gaspard. Ce qui paraît impossible au dit Nicolas, jusqu'à ce qu'il apprenne la vérité. Alors, suivant l'exemple de Juliette, qu'il avait trouvée ridicule sur le moment, il organise son suicide devant Gaspard, se laisse sauver par lui, et peut ainsi entrer dans sa vie.""]",https://image.tmdb.org/t/p/w500/isZ6cEbtzFAvbSxjPC7lqTzybNl.jpg,1,1,0,
Quatre garçons pleins d'avenir,tt0119972,90.0,Comedy,6.2,937.0,1990,0,2.913,1997-08-06,[],"[""Les aventures de quatre copains, étudiants en droit à Aix-en-Provence. Parmi eux, Arnaud, le bon gros, vient d'apprendre qu'il redouble sa première année pour la troisième fois. Devant son désespoir, ses trois amis décident de l'aider. Ils iront cette nuit même changer les résultats des écrits d'Arnaud. Promesse tenue et Arnaud se retrouve le jour même admis à passer l'oral.""]",https://image.tmdb.org/t/p/w500/lv4eso7TJnIz5Oo9TVNwR60xBon.jpg,1,0,0,https://www.youtube.com/watch?v=Ui1cy27TTO0
Rien ne va plus,tt0120018,101.0,"Comedy,Crime,Thriller",6.5,3289.0,1990,0,5.794,1997-10-15,[],"[""Victor a soixante ans, Betty, la moitié de son âge. Ils forment un couple disparate et bien malin qui pourrait dire leurs rapports réels, sinon ceux d'une association de malfaiteurs. Ils sillonnent la France et les pays limitrophes a bord d'un camping-car, recherchant particulièrement les congrès professionnels ou Betty se charge de trouver des pigeons. Ils ne se font jamais prendre car ils restent modestes dans leurs exactions. Jusqu'au jour ou une de leurs opérations les entraine sur le terrain inconnu et dangereux du blanchiment de l'argent douteux.""]",https://image.tmdb.org/t/p/w500/bEVXuorBcPjM4NG6xPqufQpuxv.jpg,1,0,0,
The Tango Lesson,tt0120275,100.0,"Drama,Music,Romance",6.7,2546.0,1990,0,2.193,1997-11-28,"['danse', 'danseur', 'tango', 'semi-autobiographique', 'réalisatrice']","['Lors d\'un voyage à Paris, Sally rencontre Pablo, un danceur de tango. Il commence à lui apprendre à danser , puis elle retourne à Londres pour travailler sur certains ""projets"".  Elle visite Buenos Aires et en appends d\'avantage sur les amis de Pablo. Sally et Pablo se rencontre de nouveau, mais cette fois la relation évolue, elle réalise qu\'ils souhaitent quelque chose d\'autre.  Lors d\'un trip à Buenos Aires, ils cimentent leur amitié.']",https://image.tmdb.org/t/p/w500/dFrkFLIGUiHTu74WGE3633XXi4C.jpg,0,1,0,
Tenue correcte exigée,tt0120308,93.0,"Comedy,Crime",6.2,463.0,1990,0,2.424,1997-03-26,[],"[""Le personnel de l'hôtel Charles-VII est en ébullition. Ce soir à lieu le World Business Forum, rendez-vous annuel du gratin de la planète. D'autant plus qu'il y a un type avec un chien assis depuis le matin dans l'abribus en face de l'hôtel. Or parmi les invités figurent le gouverneur de l'Iowa et sa femme qui a été, il y a longtemps, la femme du type assis sous l'abribus.""]",https://image.tmdb.org/t/p/w500/7CrRCmUAAlUoJMJIJ9OXS8YEqGL.jpg,1,0,0,
